Index,OccupancyGroup,BUILDING,CONTENTS
NEW HAMPSHIRESERVICE - LOW,13.0,0.00000,0.16000
NEW JERSEYBUILDINGS,1.0,0.04300,0.00000
NEW JERSEYCONTRACTORS,14.0,0.00000,0.25000
NEW JERSEYINDUST-PROC - HIGH,10.0,0.00000,0.19500
NEW JERSEYINDUST-PROC - LOW,11.0,0.00000,0.15500
NEW JERSEYINSTITUTIONAL - HIGH,8.0,0.00000,0.07600
NEW JERSEYINSTITUTIONAL - LOW,0.0,0.00000,0.07000
NEW JERSEYMERCANTILE - HIGH,4.0,0.00000,0.21800
NEW JERSEYMERCANTILE - LOW,6.0,0.00000,0.13800
NEW JERSEYMERCANTILE - MEDIUM,5.0,0.00000,0.18500
NEW JERSEYMOTELS AND HOTELS,7.0,0.00000,0.10400
NEW JERSEYOFFICES,3.0,0.00000,0.22400
NEW JERSEYRES APTS AND CONDOS,2.0,0.00000,0.20100
NEW JERSEYSERVICE - HIGH,12.0,0.00000,0.19300
NEW JERSEYSERVICE - LOW,13.0,0.00000,0.12100
NEW MEXICOBUILDINGS,1.0,0.04000,0.00000
NEW MEXICOCONTRACTORS,14.0,0.00000,0.37700
NEW MEXICOINDUST-PROC - HIGH,10.0,0.00000,0.28900
NEW MEXICOINDUST-PROC - LOW,11.0,0.00000,0.24800
NEW MEXICOINSTITUTIONAL - HIGH,8.0,0.00000,0.12900
NEW MEXICOINSTITUTIONAL - LOW,0.0,0.00000,0.07800
NEW MEXICOMERCANTILE - HIGH,4.0,0.00000,0.26800
NEW MEXICOMERCANTILE - LOW,6.0,0.00000,0.18300
NEW MEXICOMERCANTILE - MEDIUM,5.0,0.00000,0.22500
NEW MEXICOMOTELS AND HOTELS,7.0,0.00000,0.11900
NEW MEXICOOFFICES,3.0,0.00000,0.22100
NEW MEXICORES APTS AND CONDOS,2.0,0.00000,0.32400
NEW MEXICOSERVICE - HIGH,12.0,0.00000,0.23100
NEW MEXICOSERVICE - LOW,13.0,0.00000,0.18100
NEW YORKBUILDINGS,1.0,0.12800,0.00000
NEW YORKCONTRACTORS,14.0,0.00000,0.68600
NEW YORKINDUST-PROC - HIGH,10.0,0.00000,0.49800
NEW YORKINDUST-PROC - LOW,11.0,0.00000,0.65000
NEW YORKINSTITUTIONAL - HIGH,8.0,0.00000,0.30600
NEW YORKINSTITUTIONAL - LOW,0.0,0.00000,0.19000
NEW YORKMERCANTILE - HIGH,4.0,0.00000,0.96600
NEW YORKMERCANTILE - LOW,6.0,0.00000,0.44600
NEW YORKMERCANTILE - MEDIUM,5.0,0.00000,0.62000
NEW YORKMOTELS AND HOTELS,7.0,0.00000,0.32600
NEW YORKOFFICES,3.0,0.00000,0.35600
NEW YORKRES APTS AND CONDOS,2.0,0.00000,0.34000
NEW YORKSERVICE - HIGH,12.0,0.00000,0.61200
NEW YORKSERVICE - LOW,13.0,0.00000,0.37000
NORTH CAROLINABUILDINGS,1.0,0.07500,0.00000
