"Path","Name","Type","Mode","Label","Default Value"
"cds/claim_summary/top15_cat_events/bi_paid","bi_paid","float","output","BI Paid","n/a"
"cds/claim_summary/top15_cat_events/bi_os","bi_os","float","output","BI OS","n/a"
"cds/claim_summary/top15_cat_events/bi_incurred","bi_incurred","float","output","BI Incurred","n/a"
"cds/claim_summary/top15_cat_events/pre_peer_blend_incurred","pre_peer_blend_incurred","float","output","Pre Peer Blend Incurred","n/a"
"cds/claim_summary/top15_cat_events/pre_peer_most_likely_incurred","pre_peer_most_likely_incurred","float","output","Pre Peer most likely Incurred","n/a"
"cds/claim_summary/top15_cat_events","top15_cat_events","list","n/a","n/a","n/a"
"cds/claim_summary/chart_freq_sev/show_row","show_row","bool","output","Show Hide","n/a"
"cds/claim_summary/chart_freq_sev/yoa_label","yoa_label","str","output","YOA","n/a"
"cds/claim_summary/chart_freq_sev/yoa","yoa","float","output","YOA","n/a"
"cds/claim_summary/chart_freq_sev/premium","premium","float","output","Premium","n/a"
"cds/claim_summary/chart_freq_sev/freq_per_million","freq_per_million","float","output","Freq per Million Premium","n/a"
"cds/claim_summary/chart_freq_sev/severity","severity","float","output","Avg Severity","n/a"
"cds/claim_summary/chart_freq_sev","chart_freq_sev","list","n/a","n/a","n/a"
"cds/claim_summary","claim_summary","structure","n/a","n/a","n/a"
"cds/profit_commission/simulate_pc_task_status","simulate_pc_task_status","str","output","Simulate PC Status","n/a"
"cds/profit_commission/consistent_pc_latest_param","consistent_pc_latest_param","str","output","Simulated PC upto-date","n/a"
"cds/profit_commission/param_attritional/expected_loss","expected_loss","float","output","Expected Loss","n/a"
"cds/profit_commission/param_attritional/cov_benchmark","cov_benchmark","float","output","Benchmark CoV","n/a"
"cds/profit_commission/param_attritional/cov_actual","cov_actual","float","output","Actual CoV","n/a"
"cds/profit_commission/param_attritional/cov_selected","cov_selected","float","output","Selected CoV","n/a"
"cds/profit_commission/param_attritional/stdev_benchmark","stdev_benchmark","float","output","Benchmark Standard Deviation","n/a"
"cds/profit_commission/param_attritional/stdev_actual","stdev_actual","float","output","Actual Standard Deviation","n/a"
"cds/profit_commission/param_attritional/stdev_selected","stdev_selected","float","output","Selected Standard Deviation","n/a"
"cds/profit_commission/param_attritional/distribution","distribution","str","output","Distribution","n/a"
"cds/profit_commission/param_attritional/param_1","param_1","float","output","Parameter 1","n/a"
"cds/profit_commission/param_attritional/param_2","param_2","float","output","Parameter 2","n/a"
"cds/profit_commission/param_attritional/client_weight","client_weight","float","output","Weighting to Client Data","n/a"
"cds/profit_commission/param_attritional","param_attritional","structure","n/a","n/a","n/a"
"cds/profit_commission/param_large/expected_loss","expected_loss","float","output","Expected Loss","n/a"
"cds/profit_commission/param_large/cov_benchmark","cov_benchmark","float","output","Benchmark CoV","n/a"
"cds/profit_commission/param_large/cov_actual","cov_actual","float","output","Actual CoV","n/a"
"cds/profit_commission/param_large/cov_selected","cov_selected","float","output","Selected CoV","n/a"
"cds/profit_commission/param_large/stdev_benchmark","stdev_benchmark","float","output","Benchmark Standard Deviation","n/a"
"cds/profit_commission/param_large/stdev_actual","stdev_actual","float","output","Actual Standard Deviation","n/a"
"cds/profit_commission/param_large/stdev_selected","stdev_selected","float","output","Selected Standard Deviation","n/a"
"cds/profit_commission/param_large/distribution","distribution","str","output","Distribution","n/a"
"cds/profit_commission/param_large/param_1","param_1","float","output","Parameter 1","n/a"
"cds/profit_commission/param_large/param_2","param_2","float","output","Parameter 2","n/a"
"cds/profit_commission/param_large/client_weight","client_weight","float","output","Weighting to Client Data","n/a"
"cds/profit_commission/param_large","param_large","structure","n/a","n/a","n/a"
"cds/profit_commission/param_cat_natural/expected_loss","expected_loss","float","output","Expected Loss","n/a"
"cds/profit_commission/param_cat_natural/cov_benchmark","cov_benchmark","float","output","Benchmark CoV","n/a"
"cds/profit_commission/param_cat_natural/cov_actual","cov_actual","float","output","Actual CoV","n/a"
"cds/profit_commission/param_cat_natural/cov_selected","cov_selected","float","output","Selected CoV","n/a"
"cds/profit_commission/param_cat_natural/stdev_benchmark","stdev_benchmark","float","output","Benchmark Standard Deviation","n/a"
"cds/profit_commission/param_cat_natural/stdev_actual","stdev_actual","float","output","Actual Standard Deviation","n/a"
"cds/profit_commission/param_cat_natural/stdev_selected","stdev_selected","float","output","Selected Standard Deviation","n/a"
"cds/profit_commission/param_cat_natural/distribution","distribution","str","output","Distribution","n/a"
"cds/profit_commission/param_cat_natural/param_1","param_1","float","output","Parameter 1","n/a"
"cds/profit_commission/param_cat_natural/param_2","param_2","float","output","Parameter 2","n/a"
"cds/profit_commission/param_cat_natural/client_weight","client_weight","float","output","Weighting to Client Data","n/a"
"cds/profit_commission/param_cat_natural","param_cat_natural","structure","n/a","n/a","n/a"
"cds/profit_commission/param_cat_other/expected_loss","expected_loss","float","output","Expected Loss","n/a"
"cds/profit_commission/param_cat_other/cov_benchmark","cov_benchmark","float","output","Benchmark CoV","n/a"
"cds/profit_commission/param_cat_other/cov_actual","cov_actual","float","output","Actual CoV","n/a"
"cds/profit_commission/param_cat_other/cov_selected","cov_selected","float","output","Selected CoV","n/a"
"cds/profit_commission/param_cat_other/stdev_benchmark","stdev_benchmark","float","output","Benchmark Standard Deviation","n/a"
"cds/profit_commission/param_cat_other/stdev_actual","stdev_actual","float","output","Actual Standard Deviation","n/a"
"cds/profit_commission/param_cat_other/stdev_selected","stdev_selected","float","output","Selected Standard Deviation","n/a"
"cds/profit_commission/param_cat_other/distribution","distribution","str","output","Distribution","n/a"
"cds/profit_commission/param_cat_other/param_1","param_1","float","output","Parameter 1","n/a"
"cds/profit_commission/param_cat_other/param_2","param_2","float","output","Parameter 2","n/a"
"cds/profit_commission/param_cat_other/client_weight","client_weight","float","output","Weighting to Client Data","n/a"
"cds/profit_commission/param_cat_other","param_cat_other","structure","n/a","n/a","n/a"
